Instance,Best,Algorithm,Last Improved,Category
queen10_10gb.col,11,TABUCOL_chiarandini,2025-04-29,1
queen11_11.col,12,TABUCOL_chiarandini,2025-04-29,1
queen11_11g.col,12,TABUCOL_chiarandini,2025-04-29,1
queen11_11gb.col,12,TABUCOL_chiarandini,2025-04-29,1
queen12_12.col,13,TABUCOL_chiarandini,2025-04-29,1
queen12_12g.col,13,TABUCOL_chiarandini,2025-04-29,1
queen12_12gb.col,13,TABUCOL_chiarandini,2025-04-29,1
queen13_13.col,15,HEA_chiarandini,2025-04-29,1
queen14_14.col,16,HEA_chiarandini,2025-04-29,1
queen15_15.col,17,TABUCOL_chiarandini,2025-04-29,2
queen16_16.col,18,TABUCOL_chiarandini,2025-04-29,2
queen5_5.col,5,HEA_chiarandini,2025-04-29,1
queen6_6.col,7,HEA_chiarandini,2025-04-29,1
queen7_7.col,7,HEA_chiarandini,2025-04-29,1
queen8_12.col,12,HEA_chiarandini,2025-04-29,1
queen8_8.col,9,TABUCOL_chiarandini,2025-04-29,1
queen8_8g.col,9,TABUCOL_chiarandini,2025-04-29,1
queen8_8gb.col,9,TABUCOL_chiarandini,2025-04-29,1
queen9_9.col,10,HEA_chiarandini,2025-04-29,1
queen9_9g.col,10,HEA_chiarandini,2025-04-29,1
queen9_9gb.col,10,HEA_chiarandini,2025-04-29,1
r1000.1.col,20,HEA_chiarandini,2025-04-29,3
r1000.1c.col,104,TABUCOL_chiarandini,2025-04-29,2
r1000.5.col,248,TABUCOL_chiarandini,2025-04-29,2
r125.1.col,5,HEA_chiarandini,2025-04-29,4
r125.1c.col,46,DSATUR_chiarandini,2025-04-29,1
r125.5.col,36,EX_DSATUR_chiarandini,2025-05-24,2
r250.1.col,8,HEA_chiarandini,2025-04-29,4
r250.1c.col,65,HEA_chiarandini,2025-04-29,2
r250.5.col,67,DSATUR_chiarandini,2025-04-29,2
school1.col,14,TABUCOL_chiarandini,2025-04-29,3
school1_nsh.col,14,TABUCOL_chiarandini,2025-04-29,3
wap01a.col,43,PartialCol_chiarandini,2025-04-29,3
wap02a.col,42,PartialCol_chiarandini,2025-04-29,3
wap03a.col,47,TABUCOL_chiarandini,2025-04-29,3
wap04a.col,44,TABUCOL_chiarandini,2025-04-29,3
wap05a.col,50,HEA_chiarandini,2025-04-29,3
wap06a.col,41,TABUCOL_chiarandini,2025-04-29,3
wap07a.col,43,TABUCOL_chiarandini,2025-04-29,3
wap08a.col,44,TABUCOL_chiarandini,2025-04-29,3
will199GPIA.col,7,HEA_chiarandini,2025-04-29,4
zeroin.i.1.col,49,HEA_chiarandini,2025-04-29,3
zeroin.i.2.col,30,HEA_chiarandini,2025-04-29,3
zeroin.i.3.col,30,HEA_chiarandini,2025-04-29,3
