instance_name,best,best_performance,AntCol_rhyd_Run1,AntCol_rhyd_Run2,Construction_ROS_chiarandini_Run1,Construction_ROS_chiarandini_Run2,DSATUR_chiarandini_Run1,DSATUR_chiarandini_Run2,EX_DSATUR_chiarandini_Run1,EX_DSATUR_chiarandini_Run2,Greedy_chiarandini_Run1,Greedy_chiarandini_Run2,HEA_RLF_chiarandini_Run1,HEA_RLF_chiarandini_Run2,HEA_chiarandini_Run1,HEA_chiarandini_Run2,HEA_rhyd_Run1,HEA_rhyd_Run2,HillClimb_rhyd_Run1,HillClimb_rhyd_Run2,PartialCol_chiarandini_Run1,PartialCol_chiarandini_Run2,PartialCol_rhyd_Run1,PartialCol_rhyd_Run2,Penalty_chiarandini_Run1,Penalty_chiarandini_Run2,RLF_chiarandini_Run1,RLF_chiarandini_Run2,TABUCOL_chiarandini_Run1,TABUCOL_chiarandini_Run2,TABUCOL_rhyd_Run1,TABUCOL_rhyd_Run2
4-FullIns_3.col,7,7,nan,nan,8,8,7,7,7,7,8,8,7,7,7,7,nan,nan,nan,nan,7,7,nan,nan,nan,nan,7,7,7,7,nan,nan
DSJC500.5.col,47,47,nan,nan,73,73,64,67,64,67,73,73,61,61,61,60,nan,nan,nan,nan,53,52,nan,nan,nan,nan,61,61,51,52,nan,nan
queen10_10g.col,100,11,nan,nan,15,16,15,15,15,15,15,16,12,13,12,12,nan,nan,nan,nan,11,11,nan,nan,nan,nan,12,13,11,11,nan,nan
DSJC125.9.col,44,44,nan,nan,54,56,52,51,52,51,54,56,49,49,46,47,nan,nan,nan,nan,44,44,nan,nan,nan,nan,49,49,44,44,nan,nan
wap05a.col,50,50,nan,nan,56,53,51,50,51,50,56,53,50,50,50,50,nan,nan,nan,nan,50,50,nan,nan,nan,nan,50,50,50,50,nan,nan
le450_25d.col,25,25,nan,nan,36,37,29,30,29,30,36,37,29,29,28,28,nan,nan,nan,nan,28,28,nan,nan,nan,nan,29,29,26,26,nan,nan
queen8_8g.col,64,9,nan,nan,13,13,11,11,11,11,13,13,10,10,10,10,nan,nan,nan,nan,9,9,nan,nan,nan,nan,10,10,9,9,nan,nan
mulsol.i.2.col,31,31,nan,nan,31,31,31,31,31,31,31,31,31,31,31,31,nan,nan,nan,nan,31,31,nan,nan,nan,nan,31,31,31,31,nan,nan
queen15_15.col,15,15,nan,nan,21,23,21,19,21,19,21,23,18,18,18,18,nan,nan,nan,nan,17,17,nan,nan,nan,nan,18,18,17,17,nan,nan
R75_9gb.col,75,33,nan,nan,37,39,34,35,34,35,37,39,33,33,33,33,nan,nan,nan,nan,33,33,nan,nan,nan,nan,33,35,33,33,nan,nan
myciel5gb.col,47,6,nan,nan,6,6,6,6,6,6,6,6,6,6,6,6,nan,nan,nan,nan,6,6,nan,nan,nan,nan,6,6,6,6,nan,nan
le450_5a.col,5,5,nan,nan,13,12,10,10,10,10,13,12,7,8,7,7,nan,nan,nan,nan,5,5,nan,nan,nan,nan,7,8,5,5,nan,nan
le450_15c.col,15,15,nan,nan,31,31,24,24,24,24,31,31,23,23,23,23,nan,nan,nan,nan,15,17,nan,nan,nan,nan,23,23,16,17,nan,nan
queen16_16.col,256,18,nan,nan,24,23,21,20,21,20,24,23,19,19,19,19,nan,nan,nan,nan,18,18,nan,nan,nan,nan,19,19,18,18,nan,nan
miles1000.col,42,42,nan,nan,44,45,42,42,42,42,44,45,42,42,42,42,nan,nan,nan,nan,42,42,nan,nan,nan,nan,42,42,42,42,nan,nan
5-FullIns_4.col,9,9,nan,nan,10,11,9,9,9,9,10,11,9,9,9,9,nan,nan,nan,nan,9,9,nan,nan,nan,nan,9,9,9,9,nan,nan
queen11_11g.col,121,12,nan,nan,17,18,15,15,15,15,17,18,14,14,13,13,nan,nan,nan,nan,12,13,nan,nan,nan,nan,14,14,12,12,nan,nan
DSJC125.9g.col,125,44,nan,nan,54,56,52,51,52,51,54,56,49,49,46,47,nan,nan,nan,nan,44,44,nan,nan,nan,nan,49,49,44,44,nan,nan
R50_9gb.col,50,21,nan,nan,28,26,22,21,22,21,28,26,21,21,21,21,nan,nan,nan,nan,21,21,nan,nan,nan,nan,23,23,21,22,nan,nan
queen9_9g.col,81,10,nan,nan,14,14,13,14,13,14,14,14,11,11,10,10,nan,nan,nan,nan,10,10,nan,nan,nan,nan,11,12,10,10,nan,nan
3-Insertions_5.col,6,6,nan,nan,7,7,6,6,6,6,7,7,6,6,6,6,nan,nan,nan,nan,6,6,nan,nan,nan,nan,6,6,6,6,nan,nan
mug88_1.col,4,4,nan,nan,4,4,4,4,4,4,4,4,4,4,4,4,nan,nan,nan,nan,4,4,nan,nan,nan,nan,4,4,4,4,nan,nan
C57-N00778-B50-WAP__9.col,778,56,nan,nan,79,81,59,60,59,60,79,81,57,57,57,57,nan,nan,nan,nan,56,56,nan,nan,nan,nan,57,57,56,56,nan,nan
mulsol.i.1.col,49,49,nan,nan,49,49,49,49,49,49,49,49,49,49,49,49,nan,nan,nan,nan,49,49,nan,nan,nan,nan,49,49,49,49,nan,nan
mulsol.i.4.col,31,31,nan,nan,31,32,31,31,31,31,31,32,31,31,31,31,nan,nan,nan,nan,31,31,nan,nan,nan,nan,31,31,31,31,nan,nan
will199GPIA.col,7,7,nan,nan,11,11,7,7,7,7,11,11,7,8,7,7,nan,nan,nan,nan,7,7,nan,nan,nan,nan,7,8,7,7,nan,nan
2-Insertions_3.col,4,4,nan,nan,4,4,4,4,4,4,4,4,4,4,4,4,nan,nan,nan,nan,4,4,nan,nan,nan,nan,4,4,4,4,nan,nan
DSJC1000.1.col,20,20,nan,nan,31,31,26,27,26,27,31,31,25,24,24,24,nan,nan,nan,nan,22,22,nan,nan,nan,nan,25,24,21,22,nan,nan
wap02a.col,40,40,nan,nan,56,57,47,49,47,49,56,57,45,44,44,44,nan,nan,nan,nan,42,42,nan,nan,nan,nan,45,44,44,43,nan,nan
fpsol2.i.2.col,30,30,nan,nan,31,31,30,30,30,30,31,31,30,30,30,30,nan,nan,nan,nan,30,30,nan,nan,nan,nan,30,30,30,30,nan,nan
huck.col,11,11,nan,nan,11,11,11,11,11,11,11,11,11,11,11,11,nan,nan,nan,nan,11,11,nan,nan,nan,nan,11,11,11,11,nan,nan
ash608GPIA.col,4,4,nan,nan,7,7,6,5,6,5,7,7,5,5,4,4,nan,nan,nan,nan,4,4,nan,nan,nan,nan,5,5,4,4,nan,nan
C57-N00855-B50-WAP_10.col,855,55,nan,nan,79,77,59,60,59,60,79,77,57,56,56,56,nan,nan,nan,nan,56,56,nan,nan,nan,nan,57,56,55,55,nan,nan
R100_5g.col,100,14,nan,nan,22,21,18,18,18,18,22,21,17,17,16,16,nan,nan,nan,nan,14,14,nan,nan,nan,nan,18,17,14,14,nan,nan
R75_1gb.col,70,4,nan,nan,6,6,5,5,5,5,6,6,4,4,4,4,nan,nan,nan,nan,4,4,nan,nan,nan,nan,4,4,4,4,nan,nan
R100_9gb.col,100,35,nan,nan,46,47,40,40,40,40,46,47,38,38,37,37,nan,nan,nan,nan,36,35,nan,nan,nan,nan,40,38,35,35,nan,nan
ash331GPIA.col,4,4,nan,nan,7,6,5,5,5,5,7,6,5,5,4,4,nan,nan,nan,nan,4,4,nan,nan,nan,nan,5,5,4,4,nan,nan
