instance_name,best,best_performance,AntCol_rhyd,Construction_ROS_chiarandini,DSATUR_chiarandini,EX_DSATUR_chiarandini,Greedy_chiarandini,HEA_RLF_chiarandini,HEA_chiarandini,HEA_rhyd,HillClimb_rhyd,PartialCol_chiarandini,PartialCol_rhyd,Penalty_chiarandini,RLF_chiarandini,TABUCOL_chiarandini,TABUCOL_rhyd
abb313GPIA.col,10,10,12,17,12,12,17,11,11,11,11,10,11,nan,11,10,11
ash958GPIA.col,4,4,5,6,6,6,6,5,5,5,7,4,6,nan,5,4,5
DSJC1000.9.col,235,235,253,318,297,297,318,281,281,286,294,239,287,nan,281,236,294
zeroin.i.3.col,30,30,31,31,30,30,31,30,30,31,31,30,31,nan,30,30,31
queen14_14.col,16,16,17,21,20,20,21,17,16,17,17,16,17,nan,17,16,16
le450_15b.col,15,15,17,22,16,16,22,16,16,17,18,16,17,nan,16,15,17
mug100_1.col,4,4,5,4,4,4,4,4,4,5,5,4,5,nan,4,4,5
wap04a.col,44,44,53,61,48,48,61,46,45,48,49,45,49,nan,46,45,49
2-Insertions_4.col,5,5,6,6,5,5,6,5,5,6,6,5,6,nan,5,5,6
r1000.1.col,20,20,21,24,20,20,24,20,20,21,21,20,21,nan,20,20,21
wap03a.col,47,47,55,64,55,55,64,51,49,53,55,47,55,nan,51,47,55
R50_1g.col,3,3,4,4,4,4,4,3,3,4,4,3,4,38,4,3,4
DSJC250.1.col,8,8,10,12,10,10,12,10,9,9,10,8,9,nan,10,8,9
R50_1gb.col,3,3,4,4,4,4,4,3,3,4,4,3,4,38,4,3,4
myciel4.col,5,5,6,5,5,5,5,5,5,6,6,5,6,nan,5,5,6
r250.5.col,67,67,69,78,68,68,78,67,72,67,68,69,69,nan,72,69,69
C4000.5.col,314,314,363,403,380,380,403,362,353,375,377,316,377,nan,362,314,378
3-FullIns_5.col,8,8,9,12,8,8,12,8,8,9,9,8,9,nan,8,8,9
mulsol.i.5.col,31,31,32,31,31,31,31,31,31,32,32,31,32,nan,31,31,32
fpsol2.i.1.col,65,65,66,65,65,65,65,65,65,66,66,65,66,nan,65,65,66
jean.col,10,10,11,10,10,10,10,10,10,11,11,10,11,nan,10,10,11
miles750.col,31,31,32,32,31,31,32,31,31,32,32,31,32,nan,31,31,32
mug88_25.col,4,4,5,4,4,4,4,4,4,5,5,4,5,nan,4,4,5
flat1000_50_0.col,89,89,98,121,116,116,121,105,105,101,112,91,102,nan,105,90,106
queen9_9gb.col,10,10,11,14,13,13,14,11,10,11,11,10,11,nan,11,10,11
